name,lat,long,scan_center_ids,,,,,,
"Innodata Knowledge Services, Inc.",10.31803327,123.9205454,cebu,,,,,,
Hong Kong,22.39964476,114.1931671,hongkong || Hong Kong,,,,,,
University of Alberta,53.52319337,-113.5271984,alberta,,,,,,
Internet Archive Headquarters,37.78244229,-122.4717902,sfdowntown || sanfrancisco || tt_sanfrancisco,,,,,,
Datum Data Co. Ltd.,22.50635114,114.0501618,shenzhen,,,,,,
China,22.56812598,114.0541678,china,,,,,,
University of Toronto,43.66312452,-79.3955813,uoft || UofT,,,,,,
Allen County Public Library Geneaology Center,41.07773159,-85.14224798,indiana,,,,,,
British Library,51.528702,-0.12761,euston,,,,,,
UCLA,34.071863589276,-118.2538418,la || iala || santamonica,,,,,,
Princeton University,40.34604013,-74.66685643,nj || tt_pts,,,,,,
Boston Public Library,42.34936189,-71.07819992,boston || Boston || tt_bostonuniversity,,,,,,
National Agricultural Library,39.02352526,-76.9216014,beltsville,,,,,,
Library of Congress,38.8895692,-77.0045688,capitolhill || Capitolhill,,,,,,
Columbia University,40.80657713,-73.96320572,nyc,,,,,,
UNC Chapel Hill,35.91177641,-79.04727727,chapelhill,,,,,,
Internt Archive Physical Archive,37.92950359,-122.3459874,rich || richmond || richflorida,,,,,,
UIUC,40.10440926,-88.22933583,ill || il,,,,,,
National Library of Scotland,55.94870434,-3.191972202,edinburgh,,,,,,
San Francisco Public Library,37.77914204,-122.4157906,sfciviccenter,,,,,,
"University of Maryland, College Park",38.98690162,-76.94130975,maryland,,,,,,
North Carolina State University,35.78748428,-78.66939426,raleigh,,,,,,
"BYU, Provo",40.24888001,-111.6485094,provo,,,,,,
Smithsonian Libraries and Archives,38.89132735,-77.02586404,washingtondc,,,,,,
Georgetown University,38.90659981,-77.07223903,tt_georgetown,,,,,,
Internet Archive Sheridan Headquarters ,37.80039616,-122.4603638,sheridan || arch || miss,,,,,,
Duke University,36.00354706,-78.93830223,durham || durham2 || Durham,,,,,,
Brown University,41.82598954,-71.40246227,providence || tt_providence,,,,,,
"Natural History Museum Library, London",51.49684189,-0.1762706424,lond || london,,,,,,
The Archive of Contemporary Music,40.71867548,-74.00374316,manhattan,,,,,,
"BYU, Hawaii",21.64181757,-157.9265819,honolulu,,,,,,
"BYU, Idaho Family History Library",43.81513782,-111.7835769,rexburg,,,,,,
Getty Research Institute Valencia Warehouse,34.4198712,-118.5622386,valencia,,,,,,
University of Florida,29.67605506,-82.34584836,gainesville,,,,,,
The Ohio State University,40.00685718,-83.03021857,tt_osu,,,,,,
American Numismatic Society,40.72401342,-74.0064435,tt_numismatic,,,,,,
Getty Research Institute,34.07768084,-118.4752916,tt_getty,,,,,,
Ernst Mayr Library of the Museum of Comparative Zoology,42.37690652,-71.11665402,tt_harvardernstmayr,,,,,,
University of Pretoria,-25.7548428,28.2314278,pretoria,,,,,,
International Institute of Information Technology Hyderabad,17.45672402,78.34022488,RMSC-IIITH || CCLHYDERBAD || CCLHYDERABAD || S.V.Digital LibraryTTD || IIIT Hyderabad || CCL HYDERABAD,,,,,,
California State Library,38.57603262,-121.4962643,sacramento,,,,,,
University of Chinese Academy of Sciences,40.40857413,116.6825007,beijing,,,,,,
Servants of Knowledge,13.01508353,77.58188903,tt_bangalore || tt_sok,,,,,,
Trent University,44.35924592,-78.28865505,trent,,,,,,
Universidad Francisco Marroquín,14.60594769,-90.50534962,guatemala,,,,,,
Analysis and Policy Observatory (APO),-37.82169275,145.0389975,tt_swinburne,,,,,,
BookScanUS,33.78561232,-84.41203005,BookScanUS,,,,,,
American Museum of Natural History,40.78192527,-73.97246471,tt_amnh,,,,,,
State Library of Pennsylvania,40.2650287,-76.88065236,harrisburg,,,,,,
Yiddish Book Center,42.32188825,-72.52766762,amherst,,,,,,
Stanford University,37.4239279,-122.1674727,tt_stanfordlaw,,,,,,
Peabody Essex Museum,42.71459464,-70.90700382,tt_pem,,,,,,
California Acaddemy of Sciences,37.77042434,-122.4661162,tt_calacademy,,,,,,
"Centre for Strategic and International Studies, Jakarta",-6.176488669,106.8174559,tt_jakarta,,,,,,
Zhejiang University,30.30877701,120.0865531,hangzhou,,,,,,
Clemson University,34.67345992,-82.8367119,clemson,,,,,,
Osmania University,17.41379886,78.52871404,Osmania University,,,,,,
Kahle/Austin Foundation,37.79621158,-122.4492636,Kahle/Austin Foundation,,,,,,
John Hopkins University Library Offsite Storage,39.10000328,-76.84985961,clarksville,,,,,,
University of Victoria,48.46368117,-123.3096647,tt_victoria,,,,,,
Hopewell Junction,41.58494026,-73.8016634,poughkeepsie,,,,,,
University of Warwick,52.38191585,-1.562005427,tt_warwick,,,,,,
Research Institute of Korean Studies,37.59104552,127.0281313,tt_riks,,,,,,
1 Dollar Scan,37.37455087,-121.9099017,1dollarscan (zLibro),,,,,,

