Name,Measure
University of Alberta,"books_scanned, 47908, books; pages_scanned, 7636321, pages; median_turnover, 371.0, days; days_operated, 5187.0, days"
American Museum of Natural History,"books_scanned, 9, books; pages_scanned, 3822, pages; median_turnover, 230.0, days; days_operated, 230.0, days"
Yiddish Book Center,"books_scanned, 5, books; pages_scanned, 826, pages; median_turnover, 0.0, days; days_operated, 184.0, days"
"Centre for Strategic and International Studies, Jakarta","books_scanned, 1, books; pages_scanned, 184, pages; median_turnover, 0.0, days; days_operated, 0.0, days"
Zhejiang University,"books_scanned, 1, books; pages_scanned, 10, pages; median_turnover, 1281.0, days; days_operated, 0.0, days"
Clemson University,"books_scanned, 2, books; pages_scanned, 484, pages; median_turnover, 762.0, days; days_operated, 762.0, days"
John Hopkins University Library Offsite Storage,"books_scanned, 2, books; pages_scanned, 762, pages; median_turnover, 3855.0, days; days_operated, 6.0, days"
University of Victoria,"books_scanned, 1, books; pages_scanned, 552, pages; median_turnover, 0.0, days; days_operated, 0.0, days"
Hopewell Junction,"books_scanned, 1, books; pages_scanned, 134, pages; median_turnover, 0.0, days; days_operated, 0.0, days"
Research Institute of Korean Studies,"books_scanned, 1, books; pages_scanned, 260, pages; median_turnover, 0.0, days; days_operated, 0.0, days"
Universidad Francisco Marroquín,"books_scanned, 30, books; pages_scanned, 7274, pages; median_turnover, 53.0, days; days_operated, 4560.0, days"
State Library of Pennsylvania,"books_scanned, 4, books; pages_scanned, 1846, pages; median_turnover, 0.0, days; days_operated, 1877.0, days"
Stanford University,"books_scanned, 9, books; pages_scanned, 3162, pages; median_turnover, 141.0, days; days_operated, 141.0, days"
Peabody Essex Museum,"books_scanned, 4, books; pages_scanned, 104, pages; median_turnover, 240.0, days; days_operated, 240.0, days"
California Acaddemy of Sciences,"books_scanned, 2, books; pages_scanned, 830, pages; median_turnover, 0.0, days; days_operated, 27.0, days"
Analysis and Policy Observatory (APO),"books_scanned, 16, books; pages_scanned, 1098, pages; median_turnover, 196.0, days; days_operated, 196.0, days"
University of Warwick,"books_scanned, 3, books; pages_scanned, 306, pages; median_turnover, 2.0, days; days_operated, 2.0, days"
Ernst Mayr Library of the Museum of Comparative Zoology,"books_scanned, 118, books; pages_scanned, 7116, pages; median_turnover, 1039.0, days; days_operated, 2512.0, days"
"BYU, Hawaii","books_scanned, 135, books; pages_scanned, 51959, pages; median_turnover, 341.5, days; days_operated, 1125.0, days"
California State Library,"books_scanned, 60, books; pages_scanned, 16462, pages; median_turnover, 89.0, days; days_operated, 1327.0, days"
University of Chinese Academy of Sciences,"books_scanned, 57, books; pages_scanned, 16494, pages; median_turnover, 278.0, days; days_operated, 278.0, days"
University of Pretoria,"books_scanned, 256, books; pages_scanned, 83066, pages; median_turnover, 173.0, days; days_operated, 1617.0, days"
The Ohio State University,"books_scanned, 429, books; pages_scanned, 47075, pages; median_turnover, 981.0, days; days_operated, 2156.0, days"
"BYU, Idaho Family History Library","books_scanned, 304, books; pages_scanned, 123979, pages; median_turnover, 240.5, days; days_operated, 1646.0, days"
Trent University,"books_scanned, 30, books; pages_scanned, 9814, pages; median_turnover, 30.0, days; days_operated, 30.0, days"
"Natural History Museum Library, London","books_scanned, 2338, books; pages_scanned, 1175933, pages; median_turnover, 756.0, days; days_operated, 7336.0, days"
Smithsonian Libraries and Archives,"books_scanned, 3089, books; pages_scanned, 868453, pages; median_turnover, 847.0, days; days_operated, 4586.0, days"
Georgetown University,"books_scanned, 1209, books; pages_scanned, 536917, pages; median_turnover, 123.0, days; days_operated, 2542.0, days"
The Archive of Contemporary Music,"books_scanned, 1553, books; pages_scanned, 447475, pages; median_turnover, 72.0, days; days_operated, 2547.0, days"
Servants of Knowledge,"books_scanned, 125, books; pages_scanned, 42272, pages; median_turnover, 311.0, days; days_operated, 1243.0, days"
University of Florida,"books_scanned, 624, books; pages_scanned, 94755, pages; median_turnover, 167.0, days; days_operated, 1414.0, days"
Getty Research Institute,"books_scanned, 82, books; pages_scanned, 23143, pages; median_turnover, 59.0, days; days_operated, 914.0, days"
National Library of Scotland,"books_scanned, 2126, books; pages_scanned, 575473, pages; median_turnover, 371.0, days; days_operated, 2018.0, days"
North Carolina State University,"books_scanned, 969, books; pages_scanned, 364709, pages; median_turnover, 295.0, days; days_operated, 775.0, days"
San Francisco Public Library,"books_scanned, 1908, books; pages_scanned, 355017, pages; median_turnover, 217.0, days; days_operated, 2089.0, days"
Duke University,"books_scanned, 7099, books; pages_scanned, 1820934, pages; median_turnover, 411.0, days; days_operated, 4970.0, days"
Brown University,"books_scanned, 7216, books; pages_scanned, 1247041, pages; median_turnover, 1854.0, days; days_operated, 4550.0, days"
"BYU, Provo","books_scanned, 9929, books; pages_scanned, 2325879, pages; median_turnover, 2289.0, days; days_operated, 4822.0, days"
American Numismatic Society,"books_scanned, 3800, books; pages_scanned, 252988, pages; median_turnover, 1127.0, days; days_operated, 2267.0, days"
"University of Maryland, College Park","books_scanned, 1086, books; pages_scanned, 140004, pages; median_turnover, 825.5, days; days_operated, 437.0, days"
Getty Research Institute Valencia Warehouse,"books_scanned, 6925, books; pages_scanned, 1639674, pages; median_turnover, 592.0, days; days_operated, 3304.0, days"
UNC Chapel Hill,"books_scanned, 17039, books; pages_scanned, 1987984, pages; median_turnover, 493.0, days; days_operated, 5356.0, days"
UIUC,"books_scanned, 33500, books; pages_scanned, 5850135, pages; median_turnover, 339.5, days; days_operated, 7555.0, days"
Princeton University,"books_scanned, 36768, books; pages_scanned, 8640823, pages; median_turnover, 181.0, days; days_operated, 5249.0, days"
Allen County Public Library Geneaology Center,"books_scanned, 46886, books; pages_scanned, 7187398, pages; median_turnover, 294.5, days; days_operated, 7537.0, days"
Boston Public Library,"books_scanned, 53026, books; pages_scanned, 12467441, pages; median_turnover, 354.5, days; days_operated, 5692.0, days"
UCLA,"books_scanned, 76185, books; pages_scanned, 23259991, pages; median_turnover, 184.5, days; days_operated, 5875.0, days"
Columbia University,"books_scanned, 22432, books; pages_scanned, 7274051, pages; median_turnover, 136.0, days; days_operated, 3472.0, days"
Library of Congress,"books_scanned, 84480, books; pages_scanned, 17485503, pages; median_turnover, 181.0, days; days_operated, 6638.0, days"
National Agricultural Library,"books_scanned, 69286, books; pages_scanned, 2947061, pages; median_turnover, 1275.0, days; days_operated, 3478.0, days"
Internet Archive Headquarters,"books_scanned, 97097, books; pages_scanned, 26061378, pages; median_turnover, 245.0, days; days_operated, 4790.0, days"
University of Toronto,"books_scanned, 168766, books; pages_scanned, 55991859, pages; median_turnover, 204.5, days; days_operated, 5950.0, days"
British Library,"books_scanned, 79769, books; pages_scanned, 13901681, pages; median_turnover, 538.0, days; days_operated, 3151.0, days"
Internt Archive Physical Archive,"books_scanned, 60263, books; pages_scanned, 16941410, pages; median_turnover, 141.0, days; days_operated, 5862.0, days"
Datum Data Co. Ltd.,"books_scanned, 244845, books; pages_scanned, 68580273, pages; median_turnover, 238.5, days; days_operated, 3746.0, days"
Hong Kong,"books_scanned, 176389, books; pages_scanned, 47957654, pages; median_turnover, 56.5, days; days_operated, 3412.0, days"
"Innodata Knowledge Services, Inc.","books_scanned, 1059209, books; pages_scanned, 288446103, pages; median_turnover, 538.0, days; days_operated, 1487.0, days"
China,"books_scanned, 37681, books; pages_scanned, 11102482, pages; median_turnover, 901.5, days; days_operated, 1278.0, days"
Internet Archive Sheridan Headquarters,"books_scanned, 1261, books; pages_scanned, 395767, pages; median_turnover, 397.0, days; days_operated, 5691.0, days"
International Institute of Information Technology Hyderabad,"books_scanned, 54, books; pages_scanned, 16881, pages; median_turnover, 0.0, days; days_operated, nan, days"
BookScanUS,"books_scanned, 25, books; pages_scanned, 6889, pages; median_turnover, 0.0, days; days_operated, nan, days"
Osmania University,"books_scanned, 0, books; pages_scanned, 0, pages; median_turnover, 0.0, days; days_operated, nan, days"
Kahle/Austin Foundation,"books_scanned, 0, books; pages_scanned, 0, pages; median_turnover, 0.0, days; days_operated, nan, days"
1 Dollar Scan,"books_scanned, 0, books; pages_scanned, 0, pages; median_turnover, 0.0, days; days_operated, nan, days"
