,name,alt_names,total_scans,start_date,end_date,months,average_scans_per_month,total_books,total_pages,median_turnover,days,total_workers
0,University of Alberta,['alberta'],1,4/30/2010 0:00,0000-00-00,1,1,47908,7636321,371,5187,24
1,American Museum of Natural History,['tt_amnh'],9,7/31/2016 0:00,2/28/2017 0:00,6,1,9,3822,230,230,1
2,Yiddish Book Center,['amherst'],5,1/31/2012 0:00,0000-00-00,5,1,5,826,0,184,4
3,"Centre for Strategic and International Studies, Jakarta",['tt_jakarta'],1,10/31/2014 0:00,0000-00-00,1,1,1,184,0,0,1
4,Zhejiang University,['hangzhou'],1,7/31/2011 0:00,0000-00-00,1,1,1,10,1281,0,1
5,Clemson University,['clemson'],2,4/30/2012 0:00,5/31/2014 0:00,2,1,2,484,762,762,1
6,John Hopkins University Library Offsite Storage,['clarksville'],2,3/31/2021 0:00,0000-00-00,2,1,2,762,3855,6,1
7,University of Victoria,['tt_victoria'],1,1/31/2017 0:00,0000-00-00,1,1,1,552,0,0,1
8,Hopewell Junction,['poughkeepsie'],1,7/31/2014 0:00,0000-00-00,1,1,1,134,0,0,1
9,Research Institute of Korean Studies,['tt_riks'],1,5/31/2016 0:00,0000-00-00,1,1,1,260,0,0,1
10,Universidad Francisco Marroquín,['guatemala'],30,1/31/2009 0:00,7/31/2021 0:00,13,2,30,7274,53,4560,7
11,State Library of Pennsylvania,['harrisburg'],4,6/30/2014 0:00,8/31/2019 0:00,2,2,4,1846,0,1877,2
12,Stanford University,['tt_stanfordlaw'],9,3/31/2022 0:00,0000-00-00,4,2,9,3162,141,141,3
13,Peabody Essex Museum,['tt_pem'],4,2/28/2019 0:00,0000-00-00,2,2,4,104,240,240,1
14,California Acaddemy of Sciences,['tt_calacademy'],2,6/30/2018 0:00,0000-00-00,1,2,2,830,0,27,1
15,Analysis and Policy Observatory (APO),['tt_swinburne'],16,5/31/2017 0:00,0000-00-00,5,3,16,1098,196,196,1
16,University of Warwick,['tt_warwick'],3,3/31/2018 0:00,0000-00-00,1,3,3,306,2,2,1
17,Ernst Mayr Library of the Museum of Comparative Zoology,['tt_harvardernstmayr'],118,10/31/2015 0:00,12/31/2021 0:00,26,4,118,7116,1039,2512,3
18,"BYU, Hawaii",['honolulu'],135,7/31/2011 0:00,12/31/2013 0:00,27,5,135,51959,341.5,1125,7
19,California State Library,['sacramento'],60,10/31/2011 0:00,12/31/2014 0:00,11,5,60,16462,89,1327,3
20,University of Chinese Academy of Sciences,['beijing'],57,9/30/2010 0:00,7/31/2011 0:00,11,5,57,16494,278,278,1
21,University of Pretoria,['pretoria'],254,9/30/2014 0:00,12/31/2017 0:00,31,8,256,83066,173,1617,10
22,The Ohio State University,['tt_osu'],429,9/30/2016 0:00,12/31/2021 0:00,44,9,429,47075,981,2156,5
23,"BYU, Idaho Family History Library",['rexburg'],303,6/30/2011 0:00,12/31/2015 0:00,26,11,304,123979,240.5,1646,9
24,Trent University,['trent'],30,7/31/2018 0:00,0000-00-00,2,15,30,9814,30,30,1
25,"Natural History Museum Library, London","['lond ', ' london']",2337,1/31/2002 0:00,12/31/2020 0:00,129,18,2338,1175933,756,7336,17
26,Smithsonian Libraries and Archives,['washingtondc'],3089,8/31/2007 0:00,12/31/2019 0:00,150,20,3089,868453,847,4586,11
27,Georgetown University,['tt_georgetown'],1189,9/30/2015 0:00,12/31/2019 0:00,57,20,1209,536917,123,2542,20
28,The Archive of Contemporary Music,['manhattan'],1542,7/31/2011 0:00,12/31/2016 0:00,73,21,1553,447475,72,2547,65
29,Servants of Knowledge,"['tt_bangalore ', ' tt_sok']",66,3/31/2019 0:00,0000-00-00,3,22,125,42272,311,1243,4
30,University of Florida,['gainesville'],624,6/30/2015 0:00,12/31/2018 0:00,27,23,624,94755,167,1414,10
31,Getty Research Institute,['tt_getty'],82,8/31/2016 0:00,2/28/2019 0:00,3,27,82,23143,59,914,2
32,National Library of Scotland,['edinburgh'],2126,8/31/2008 0:00,12/31/2013 0:00,59,36,2126,575473,371,2018,7
33,North Carolina State University,['raleigh'],968,2/29/2008 0:00,12/31/2009 0:00,26,37,969,364709,295,775,7
34,San Francisco Public Library,['sfciviccenter'],1908,10/31/2011 0:00,12/31/2016 0:00,46,41,1908,355017,217,2089,18
35,Duke University,"['durham ', ' durham2 ', ' Durham']",7003,1/31/2009 0:00,12/31/2021 0:00,147,47,7099,1820934,411,4970,9
36,Brown University,"['providence ', ' tt_providence']",7216,3/31/2010 0:00,12/31/2020 0:00,144,50,7216,1247041,1854,4550,7
37,"BYU, Provo",['provo'],9614,6/30/2009 0:00,12/31/2021 0:00,153,62,9929,2325879,2289,4822,50
38,American Numismatic Society,['tt_numismatic'],3800,12/31/2015 0:00,12/31/2018 0:00,55,69,3800,252988,1127,2267,3
39,"University of Maryland, College Park",['maryland'],1086,11/30/2007 0:00,12/31/2008 0:00,15,72,1086,140004,825.5,437,2
40,Getty Research Institute Valencia Warehouse,['valencia'],6925,7/31/2013 0:00,12/31/2021 0:00,91,76,6925,1639674,592,3304,13
41,UNC Chapel Hill,['chapelhill'],17035,12/31/2007 0:00,12/31/2021 0:00,137,124,17039,1987984,493,5356,21
42,UIUC,"['ill ', ' il']",31803,12/31/2001 0:00,12/31/2021 0:00,185,171,33500,5850135,339.5,7555,68
43,Princeton University,"['nj ', ' tt_pts']",36765,4/30/2008 0:00,12/31/2021 0:00,165,222,36768,8640823,181,5249,101
44,Allen County Public Library Geneaology Center,['indiana'],46860,1/31/2002 0:00,12/31/2021 0:00,171,274,46886,7187398,294.5,7537,117
45,Boston Public Library,"['boston ', ' Boston ', ' tt_bostonuniversity']",52844,1/31/2007 0:00,12/31/2021 0:00,184,287,53026,12467441,354.5,5692,138
46,UCLA,"['la ', ' iala ', ' santamonica']",76172,7/31/2006 0:00,12/31/2021 0:00,175,435,76185,23259991,184.5,5875,115
47,Columbia University,['nyc'],22432,1/31/2002 0:00,12/31/2010 0:00,51,439,22432,7274051,136,3472,74
48,Library of Congress,"['capitolhill ', ' Capitolhill']",84276,1/31/2002 0:00,12/31/2019 0:00,147,573,84480,17485503,181,6638,148
49,National Agricultural Library,['beltsville'],69282,12/31/2012 0:00,12/31/2021 0:00,108,641,69286,2947061,1275,3478,18
50,Internet Archive Headquarters,"['sfdowntown ', ' sanfrancisco ', ' tt_sanfrancisco']",97073,7/31/2009 0:00,12/31/2021 0:00,149,651,97097,26061378,245,4790,243
51,University of Toronto,"['uoft ', ' UofT']",167658,5/31/2006 0:00,12/31/2021 0:00,184,911,168766,55991859,204.5,5950,245
52,British Library,['euston'],79765,1/31/2014 0:00,12/31/2019 0:00,87,916,79769,13901681,538,3151,39
53,Internt Archive Physical Archive,"['rich ', ' richmond ', ' richflorida']",60252,3/31/2006 0:00,12/31/2014 0:00,63,956,60263,16941410,141,5862,224
54,Datum Data Co. Ltd.,['shenzhen'],282215,7/31/2009 0:00,12/31/2021 0:00,121,2332,244845,68580273,238.5,3746,136
55,Hong Kong,"['hongkong ', ' Hong Kong']",176321,9/30/2009 0:00,12/31/2018 0:00,55,3205,176389,47957654,56.5,3412,555
56,"Innodata Knowledge Services, Inc.",['cebu'],1059208,9/30/2018 0:00,12/31/2021 0:00,50,21184,1059209,288446103,538,1487,372
57,China,['china'],0,2023-12-00,0000-00-00,0,#DIV/0!,37681,11102482,901.5,1278,17
58,Internet Archive Sheridan Headquarters,"['sheridan ', ' arch ', ' miss']",0,2023-12-00,0000-00-00,0,#DIV/0!,1261,395767,397,5691,47
59,International Institute of Information Technology Hyderabad,"['RMSC-IIITH ', ' CCLHYDERBAD ', ' CCLHYDERABAD ', ' S.V.Digital LibraryTTD ', ' IIIT Hyderabad ', ' CCL HYDERABAD']",0,2023-12-00,0000-00-00,0,#DIV/0!,54,16881,0,,1
60,BookScanUS,['BookScanUS'],0,2023-12-00,0000-00-00,0,#DIV/0!,25,6889,0,,1
61,Osmania University,['Osmania University'],0,2023-12-00,0000-00-00,0,#DIV/0!,0,0,0,,0
62,Kahle/Austin Foundation,['Kahle/Austin Foundation'],0,2023-12-00,0000-00-00,0,#DIV/0!,0,0,0,,0
63,1 Dollar Scan,['1dollarscan (zLibro)'],0,2023-12-00,0000-00-00,0,#DIV/0!,0,0,0,,0
