year,month,"Innodata Knowledge Services, Inc.",Hong Kong,University of Alberta,Internet Archive Headquarters,Datum Data Co. Ltd.,University of Toronto,Allen County Public Library Geneaology Center,British Library,UCLA,Princeton University,Boston Public Library,National Agricultural Library,Library of Congress,Columbia University,UNC Chapel Hill,Internt Archive Physical Archive,UIUC,National Library of Scotland,San Francisco Public Library,"University of Maryland, College Park",North Carolina State University,"BYU, Provo",Smithsonian Libraries and Archives,Georgetown University,Internet Archive Sheridan Headquarters ,Duke University,Brown University,"Natural History Museum Library, London",The Archive of Contemporary Music,"BYU, Hawaii","BYU, Idaho Family History Library",Getty Research Institute Valencia Warehouse,University of Florida,The Ohio State University,American Numismatic Society,Getty Research Institute,Ernst Mayr Library of the Museum of Comparative Zoology,University of Pretoria,The Servants of Knowledge,International Institute of Information Technology Hyderabad,California State Library,University of Chinese Academy of Sciences,Servants of Knowledge,Trent University,Universidad Francisco Marroquín,Analysis and Policy Observatory (APO),BookScanUS,American Museum of Natural History,State Library of Pennsylvania,Yiddish Book Center,Stanford University,Peabody Essex Museum,California Acaddemy of Sciences,"Centre for Strategic and International Studies, Jakarta",Zhejiang University,Clemson University,Osmania University,Kahle/Austin Foundation,John Hopkins University Library Offsite Storage,University of Victoria,Hopewell Junction,University of Warwick,Research Institute of Korean Studies,1 Dollar Scan
2001.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002.0,1.0,0,0,0,0,0,0,3.0,0,0,0,0,0,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006.0,5.0,0,0,0,0,0,286.0,0,0,0,0,0,0,0,0,0,1666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006.0,6.0,0,0,0,0,0,676.0,0,0,0,0,0,0,0,0,0,1704.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006.0,7.0,0,0,0,0,0,1498.0,0,0,1.0,0,0,0,0,0,0,1739.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006.0,8.0,0,0,0,0,0,1542.0,0,0,362.0,0,0,0,0,0,0,866.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006.0,9.0,0,0,0,0,0,1984.0,0,0,1099.0,0,0,0,0,0,0,1618.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006.0,10.0,0,0,0,0,0,1753.0,0,0,1531.0,0,0,0,0,0,0,1534.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006.0,11.0,0,0,0,0,0,2942.0,0,0,1439.0,0,0,0,0,0,0,1912.0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006.0,12.0,0,0,0,0,0,1439.0,0,0,1521.0,0,0,0,0,0,0,1764.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
