name,lat,long,count,date,certainty_index
UIUC,40.10440926,-88.22933583,1.0,2001-12-31 00:00:00,1
Allen County Public Library Geneaology Center,41.07773159,-85.14224798,3.0,2002-01-31 00:00:00,1
Library of Congress,38.8895692,-77.0045688,1.0,2002-01-31 00:00:00,1
Columbia University,40.80657713,-73.96320572,5.0,2002-01-31 00:00:00,1
"Natural History Museum Library, London",51.49684189,-0.1762706424,1.0,2002-01-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,100.0,2006-03-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,859.0,2006-04-30 00:00:00,1
University of Toronto,43.66312452,-79.3955813,286.0,2006-05-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1666.0,2006-05-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,676.0,2006-06-30 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1704.0,2006-06-30 00:00:00,1
University of Toronto,43.66312452,-79.3955813,1498.0,2006-07-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,1.0,2006-07-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1739.0,2006-07-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,1542.0,2006-08-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,362.0,2006-08-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,866.0,2006-08-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,1984.0,2006-09-30 00:00:00,1
UCLA,34.071863589276,-118.2538418,1099.0,2006-09-30 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1618.0,2006-09-30 00:00:00,1
University of Toronto,43.66312452,-79.3955813,1753.0,2006-10-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,1531.0,2006-10-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1534.0,2006-10-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,2942.0,2006-11-30 00:00:00,1
UCLA,34.071863589276,-118.2538418,1439.0,2006-11-30 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1912.0,2006-11-30 00:00:00,1
University of Toronto,43.66312452,-79.3955813,1439.0,2006-12-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,1521.0,2006-12-31 00:00:00,1
Internt Archive Physical Archive,37.92950359,-122.3459874,1764.0,2006-12-31 00:00:00,1
University of Toronto,43.66312452,-79.3955813,1584.0,2007-01-31 00:00:00,1
UCLA,34.071863589276,-118.2538418,1916.0,2007-01-31 00:00:00,1
Boston Public Library,42.34936189,-71.07819992,14.0,2007-01-31 00:00:00,1
