,name,alt_names,total_books,total_pages,median_turnover,days,total_workers,total_days_worked,productivity_per_worker,lat,lon
0,University of Alberta,['alberta'],121340,19260804.0,539.0,5463.0,32,33455,575.7227320280974,53.52319337,-113.5271984
1,American Museum of Natural History,['tt_amnh'],29,13456.0,433.0,433.0,1,433,31.07621247113164,40.78192527,-73.97246471
2,Yiddish Book Center,['amherst'],1242,218878.0,468.0,679.0,17,6306,34.709483032032985,42.32188825,-72.52766762
3,"Centre for Strategic and International Studies, Jakarta",['tt_jakarta'],492,52143.0,418.0,418.0,1,418,124.744019138756,-6.176488669,106.8174559
4,Zhejiang University,['hangzhou'],1,10.0,1281.0,0.0,1,1281,0.0078064012490242,30.30877701,120.0865531
5,Clemson University,['clemson'],10410,2001152.0,553.0,920.0,8,6375,313.9061960784314,34.67345992,-82.8367119
6,John Hopkins University Library Offsite Storage,['clarksville'],4963,995428.0,4153.5,927.0,5,16219,61.37419076391886,39.10000328,-76.84985961
7,University of Victoria,['tt_victoria'],6843,582752.0,956.5,2779.0,7,5360,108.72238805970149,48.46368117,-123.3096647
8,Hopewell Junction,['poughkeepsie'],24,5178.0,393.0,393.0,1,393,13.17557251908397,41.58494026,-73.8016634
9,Research Institute of Korean Studies,['tt_riks'],7,572.0,69.0,855.0,3,69,8.289855072463768,37.59104552,127.0281313
10,Universidad Francisco Marroquín,['guatemala'],4151,459925.0,445.0,5291.0,31,18422,24.96607317337965,14.60594769,-90.50534962
11,State Library of Pennsylvania,['harrisburg'],21938,3107122.0,1501.0,3435.0,11,9717,319.76144900689513,40.2650287,-76.88065236
12,Stanford University,['tt_stanfordlaw'],39,17866.0,290.5,1189.0,7,1593,11.215317011927182,37.4239279,-122.1674727
13,Peabody Essex Museum,['tt_pem'],7,156.0,292.0,292.0,2,292,0.5342465753424658,42.71459464,-70.90700382
14,California Acaddemy of Sciences,['tt_calacademy'],1049,11888.0,377.0,958.0,3,377,31.53315649867374,37.77042434,-122.4661162
15,Analysis and Policy Observatory (APO),['tt_swinburne'],41,2342.0,207.0,207.0,1,207,11.31400966183575,-37.82169275,145.0389975
16,University of Warwick,['tt_warwick'],715,38355.0,51.0,2569.0,4,1070,35.845794392523366,52.38191585,-1.562005427
