name,lat,long,scan_center_ids,certainty_index,,,,,,,,,,,,,,,,,,,,,
"Innodata Knowledge Services, Inc.",10.31803327,123.9205454,cebu,1,,,,,,,,,,,,,,,,,,,,,
Hong Kong,22.31836625,114.181248,hongkong || Hong Kong,0.5,,,,,,,,,,,,,,,,,,,,,
University of Alberta,53.52319337,-113.5271984,alberta,1,,,,,,,,,,,,,,,,,,,,,
Internet Archive Headquarters,37.78244229,-122.4717902,sfdowntown || sanfrancisco || tt_sanfrancisco,1,,,,,,,,,,,,,,,,,,,,,
Datum Data Co. Ltd.,22.56796924,114.0544612,shenzhen,1,,,,,,,,,,,,,,,,,,,,,
China,34.26891699,102.555404,china,0,,,,,,,,,,,,,,,,,,,,,
University of Toronto,43.66312452,-79.3955813,uoft || UofT,1,,,,,,,,,,,,,,,,,,,,,
Allen County Public Library Geneaology Center,41.07773159,-85.14224798,indiana,1,,,,,,,,,,,,,,,,,,,,,
British Library,51.528702,-0.12761,euston,1,,,,,,,,,,,,,,,,,,,,,
UCLA,34.07186359,-118.2538418,la || iala || santamonica,1,,,,,,,,,,,,,,,,,,,,,
Princeton University,40.34604013,-74.66685643,nj || tt_pts,1,,,,,,,,,,,,,,,,,,,,,
Boston Public Library,42.34936189,-71.07819992,boston || Boston || tt_bostonuniversity,1,,,,,,,,,,,,,,,,,,,,,
National Agricultural Library,39.02352526,-76.9216014,beltsville,1,,,,,,,,,,,,,,,,,,,,,
Library of Congress,38.8895692,-77.0045688,capitolhill || Capitolhill,1,,,,,,,,,,,,,,,,,,,,,
Columbia University,40.80657713,-73.96320572,nyc,1,,,,,,,,,,,,,,,,,,,,,
UNC Chapel Hill,35.91177641,-79.04727727,chapelhill,1,,,,,,,,,,,,,,,,,,,,,
Internt Archive Physical Archive,37.92950359,-122.3459874,rich || richmond || richflorida,1,,,,,,,,,,,,,,,,,,,,,
UIUC,40.10440926,-88.22933583,ill || il,1,,,,,,,,,,,,,,,,,,,,,
National Library of Scotland,55.94870434,-3.191972202,edinburgh,1,,,,,,,,,,,,,,,,,,,,,
San Francisco Public Library,37.77914204,-122.4157906,sfciviccenter,1,,,,,,,,,,,,,,,,,,,,,
"University of Maryland, College Park",38.98690162,-76.94130975,maryland,1,,,,,,,,,,,,,,,,,,,,,
North Carolina State University,35.78748428,-78.66939426,raleigh,1,,,,,,,,,,,,,,,,,,,,,
"BYU, Provo",40.24888001,-111.6485094,provo,1,,,,,,,,,,,,,,,,,,,,,
Smithsonian Libraries and Archives,38.89132735,-77.02586404,washingtondc,1,,,,,,,,,,,,,,,,,,,,,
Georgetown University,38.90659981,-77.07223903,tt_georgetown,1,,,,,,,,,,,,,,,,,,,,,
Internet Archive Sheridan Headquarters,37.80039616,-122.4603638,sheridan || arch || miss,1,,,,,,,,,,,,,,,,,,,,,
Duke University,36.00354706,-78.93830223,durham || durham2 || Durham,1,,,,,,,,,,,,,,,,,,,,,
