,name,alt_names,total_scans,start_date,end_date,months,average_scans_per_month,total_books,total_pages,median_turnover,days,total_workers,total_days_worked,productivity_per_worker
0,University of Alberta,['alberta'],1,2010-04-30 0:00:00,0000-00-00,1,1,121340,19260804.0,539.0,5463.0,32,33455,575.7227320280974
1,American Museum of Natural History,['tt_amnh'],9,2016-07-31 0:00:00,2017-02-28 0:00:00,6,1,29,13456.0,433.0,433.0,1,433,31.07621247113164
2,Yiddish Book Center,['amherst'],5,2012-01-31 0:00:00,0000-00-00,5,1,1242,218878.0,468.0,679.0,17,6306,34.709483032032985
3,"Centre for Strategic and International Studies, Jakarta",['tt_jakarta'],1,2014-10-31 0:00:00,0000-00-00,1,1,492,52143.0,418.0,418.0,1,418,124.74401913875599
4,Zhejiang University,['hangzhou'],1,2011-07-31 0:00:00,0000-00-00,1,1,1,10.0,1281.0,0.0,1,1281,0.0078064012490242
5,Clemson University,['clemson'],2,2012-04-30 0:00:00,2014-05-31 0:00:00,2,1,10410,2001152.0,553.0,920.0,8,6375,313.9061960784314
6,John Hopkins University Library Offsite Storage,['clarksville'],2,2021-03-31 0:00:00,0000-00-00,2,1,4963,995428.0,4153.5,927.0,5,16219,61.37419076391886
7,University of Victoria,['tt_victoria'],1,2017-01-31 0:00:00,0000-00-00,1,1,6843,582752.0,956.5,2779.0,7,5360,108.72238805970149
8,Hopewell Junction,['poughkeepsie'],1,2014-07-31 0:00:00,0000-00-00,1,1,24,5178.0,393.0,393.0,1,393,13.17557251908397
9,Research Institute of Korean Studies,['tt_riks'],1,2016-05-31 0:00:00,0000-00-00,1,1,7,572.0,69.0,855.0,3,69,8.289855072463768
10,Universidad Francisco Marroquín,['guatemala'],30,2009-01-31 0:00:00,2021-07-31 0:00:00,13,2,4151,459925.0,445.0,5291.0,31,18422,24.966073173379655
11,State Library of Pennsylvania,['harrisburg'],4,2014-06-30 0:00:00,2019-08-31 0:00:00,2,2,21938,3107122.0,1501.0,3435.0,11,9717,319.76144900689513
12,Stanford University,['tt_stanfordlaw'],9,2022-03-31 0:00:00,0000-00-00,4,2,39,17866.0,290.5,1189.0,7,1593,11.215317011927182
13,Peabody Essex Museum,['tt_pem'],4,2019-02-28 0:00:00,0000-00-00,2,2,7,156.0,292.0,292.0,2,292,0.5342465753424658
14,California Acaddemy of Sciences,['tt_calacademy'],2,2018-06-30 0:00:00,0000-00-00,1,2,1049,11888.0,377.0,958.0,3,377,31.53315649867374
