,name,month_year,scans_per_month,lat,lon,date
0,Allen County Public Library Geneaology Center,2002-01,4,41.07773159,-85.14224798,2002-01-01 00:00:00
1,Allen County Public Library Geneaology Center,2008-05,78,41.07773159,-85.14224798,2008-05-01 00:00:00
2,Allen County Public Library Geneaology Center,2008-06,583,41.07773159,-85.14224798,2008-06-01 00:00:00
3,Allen County Public Library Geneaology Center,2008-07,664,41.07773159,-85.14224798,2008-07-01 00:00:00
4,Allen County Public Library Geneaology Center,2008-08,641,41.07773159,-85.14224798,2008-08-01 00:00:00
5,Allen County Public Library Geneaology Center,2008-09,720,41.07773159,-85.14224798,2008-09-01 00:00:00
6,Allen County Public Library Geneaology Center,2008-10,563,41.07773159,-85.14224798,2008-10-01 00:00:00
7,Allen County Public Library Geneaology Center,2008-11,453,41.07773159,-85.14224798,2008-11-01 00:00:00
8,Allen County Public Library Geneaology Center,2008-12,553,41.07773159,-85.14224798,2008-12-01 00:00:00
9,Allen County Public Library Geneaology Center,2009-01,687,41.07773159,-85.14224798,2009-01-01 00:00:00
10,Allen County Public Library Geneaology Center,2009-02,632,41.07773159,-85.14224798,2009-02-01 00:00:00
11,Allen County Public Library Geneaology Center,2009-03,870,41.07773159,-85.14224798,2009-03-01 00:00:00
12,Allen County Public Library Geneaology Center,2009-04,950,41.07773159,-85.14224798,2009-04-01 00:00:00
13,Allen County Public Library Geneaology Center,2009-05,834,41.07773159,-85.14224798,2009-05-01 00:00:00
14,Allen County Public Library Geneaology Center,2009-06,922,41.07773159,-85.14224798,2009-06-01 00:00:00
15,Allen County Public Library Geneaology Center,2009-07,986,41.07773159,-85.14224798,2009-07-01 00:00:00
16,Allen County Public Library Geneaology Center,2009-08,779,41.07773159,-85.14224798,2009-08-01 00:00:00
17,Allen County Public Library Geneaology Center,2009-09,818,41.07773159,-85.14224798,2009-09-01 00:00:00
18,Allen County Public Library Geneaology Center,2009-10,1021,41.07773159,-85.14224798,2009-10-01 00:00:00
19,Allen County Public Library Geneaology Center,2009-11,694,41.07773159,-85.14224798,2009-11-01 00:00:00
